"","operatingunit","countryname","snu1","snu1uid","psnu","psnuuid","fy16snuprioritization","tx_ret_denom","tx_ret_num","tx_ret_pct","tx_new","ou","ea_districts","national_sub_sub_unit","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot"
"2154","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Ugu District Municipality","D9dGCrs8rkJ","2 - Scale-Up: Aggressive",12849,9066,0.706,13673,"SouthAfrica","KwaZulu-Natal","Ugu District Municipality",,,1616382.1869
"2155","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz uMgungundlovu District Municipality","kOGT3ksxeSh","1 - Scale-Up: Saturation",16644,13173,0.791,19650,"SouthAfrica","KwaZulu-Natal","uMgungundlovu District Municipality",24084,23064,2331602.3544
"2156","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Umkhanyakude District Municipality","vQsUkgj7fuA","4 - Sustained",10717,9828,0.917,13955,"SouthAfrica","KwaZulu-Natal","Umkhanyakude District Municipality",36880,28039,961399.5954
"2157","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Umzinyathi District Municipality","U8IafTP7w7L","4 - Sustained",13802,11564,0.838,7765,"SouthAfrica","KwaZulu-Natal","Umzinyathi District Municipality",8649,7208,938783.29718
"2158","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Uthukela District Municipality","xhBacuWMJPS","2 - Scale-Up: Aggressive",12702,11793,0.928,10641,"SouthAfrica","KwaZulu-Natal","Uthukela District Municipality",0,0,1074084.5903
"2159","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Uthungulu District Municipality","dydqYNPbwDc","2 - Scale-Up: Aggressive",17368,13034,0.75,15121,"SouthAfrica","KwaZulu-Natal","Uthungulu District Municipality",,,1266470.3968
"2160","South Africa","South Africa","kz KwaZulu-Natal Province","BBbedoFVZXY","kz Zululand District Municipality","DjW2vEv4mf2","2 - Scale-Up: Aggressive",28344,23038,0.813,15277,"SouthAfrica","KwaZulu-Natal","Zululand District Municipality",12328,11308,1357863.432
"2161","South Africa","South Africa","lp Limpopo Province","JUneyNLhmdu","lp Capricorn District Municipality","zPlOd5VH1r4","2 - Scale-Up: Aggressive",11692,7705,0.659,12433,"SouthAfrica","Limpopo","Capricorn District Municipality",73281,21041,2545150.0028
"2162","South Africa","South Africa","lp Limpopo Province","JUneyNLhmdu","lp Mopani District Municipality","Ox9AGEiwXhL","2 - Scale-Up: Aggressive",17113,12212,0.714,16005,"SouthAfrica","Limpopo","Mopani District Municipality",291207,81234,2835389.9977
"2163","South Africa","South Africa","lp Limpopo Province","JUneyNLhmdu","lp Sekhukhune District Municipality","ZnpFreAC44z","4 - Sustained",4529,4141,0.914,5399,"SouthAfrica","Limpopo","Sekhukhune District Municipality",49303,56021,1691237.0364
"2164","South Africa","South Africa","lp Limpopo Province","JUneyNLhmdu","lp Vhembe District Municipality","BFHI8ktsvQ1","5 - Centrally Supported",3042,2022,0.665,214,,,,,,
"2165","South Africa","South Africa","lp Limpopo Province","JUneyNLhmdu","lp Waterberg District Municipality","RzshrAPG7FJ","4 - Sustained",9954,7320,0.735,8684,"SouthAfrica","Limpopo","Waterberg District Municipality",3494,2474,1112888.8341
"2166","South Africa","South Africa","mp Mpumalanga Province","SVUPDvRDR87","mp Ehlanzeni District Municipality","pqFvbVz4qqH","2 - Scale-Up: Aggressive",33369,23452,0.703,34558,"SouthAfrica","Mpumalanga","Ehlanzeni District Municipality",116871,63058,3780502.7824
"2167","South Africa","South Africa","mp Mpumalanga Province","SVUPDvRDR87","mp Gert Sibande District Municipality","bbqQmjUlRME","2 - Scale-Up: Aggressive",19341,14083,0.728,18918,"SouthAfrica","Mpumalanga","Gert Sibande District Municipality",,,1918061.9817
"2168","South Africa","South Africa","mp Mpumalanga Province","SVUPDvRDR87","mp Nkangala District Municipality","BFWGUrkBvfy","2 - Scale-Up: Aggressive",15197,10176,0.67,15808,"SouthAfrica","Mpumalanga","Nkangala District Municipality",155284,102306,2584002.1847
"2169","South Africa","South Africa","nc Northern Cape Province","xbQNSk1ky2j","nc Frances Baard District Municipality","BoIxivHASNY","5 - Centrally Supported",4697,3445,0.733,831,"SouthAfrica","Northern Cape","Frances Baard District Municipality",0,0,189728.19335
"2170","South Africa","South Africa","nc Northern Cape Province","xbQNSk1ky2j","nc John Taolo Gaetsewe District Municipality","T7tgoZWsBNI","5 - Centrally Supported",830,515,0.62,1423,"SouthAfrica","Northern Cape","John Taolo Gaetsewe District Municipality",35730,30899,117743.6631
"2171","South Africa","South Africa","nc Northern Cape Province","xbQNSk1ky2j","nc Namakwa District Municipality","rTOv2mSieIJ","5 - Centrally Supported",273,186,0.681,316,"SouthAfrica","Northern Cape","Namakwa District Municipality",17308,14423,38466.918
"2172","South Africa","South Africa","nc Northern Cape Province","xbQNSk1ky2j","nc Pixley ka Seme District Municipality","wJfJepN9E40","5 - Centrally Supported",1499,1137,0.759,410,"SouthAfrica","Northern Cape","Pixley ka Seme District Municipality",7042,2011,218326.6972
"2173","South Africa","South Africa","nc Northern Cape Province","xbQNSk1ky2j","nc Zwelentlanga Fatman Mgcawu District Municipality","b5i77fVnsOC","5 - Centrally Supported",999,610,0.611,1266,"SouthAfrica","Northern Cape","Zwelentlanga Fatman Mgcawu District Municipality",0,0,40551.92
"2174","South Africa","South Africa","nw North West Province","IbXpiC7pQHp","nw Bojanala Platinum District Municipality","yPMAadGMkkj","2 - Scale-Up: Aggressive",5170,4217,0.816,19854,,,,,,
"2175","South Africa","South Africa","nw North West Province","IbXpiC7pQHp","nw Dr Kenneth Kaunda District Municipality","HKcwDYQDbB5","2 - Scale-Up: Aggressive",9935,9334,0.94,10552,"SouthAfrica","North West","Dr Kenneth Kaunda District Municipality",104581,35391,3122259.4199
"2176","South Africa","South Africa","nw North West Province","IbXpiC7pQHp","nw Dr Ruth Segomotsi Mompati District Municipality","Pv8QkwEnhlu","5 - Centrally Supported",3374,2814,0.834,0,"SouthAfrica","North West","Dr Ruth Segomotsi Mompati District Municipality",26439,21748,179197.2403
"2177","South Africa","South Africa","nw North West Province","IbXpiC7pQHp","nw Ngaka Modiri Molema District Municipality","QwqeXGLpLfi","2 - Scale-Up: Aggressive",1880,1439,0.765,7116,"SouthAfrica","North West","Ngaka Modiri Molema District Municipality",,,2889834.6726
"2178","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc Cape Winelands District Municipality","abEAqJ2swgH","5 - Centrally Supported",4965,3556,0.716,3086,"SouthAfrica","Western Cape","Cape Winelands District Municipality",0,0,914632.8344
"2179","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc Central Karoo District Municipality","jPDTEACJNYQ","5 - Centrally Supported",0,0,,0,"SouthAfrica","Western Cape","Central Karoo District Municipality",0,0,38963.8155
"2180","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc City of Cape Town Metropolitan Municipality","ROKgB9sl4NS","2 - Scale-Up: Aggressive",26235,17152,0.654,27715,"SouthAfrica","Western Cape","City of Cape Town Metropolitan Municipality",32523,9021,2365674.7711
"2181","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc Eden District Municipality","IOb5dQ3OH9g","5 - Centrally Supported",3517,2247,0.639,1171,"SouthAfrica","Western Cape","Eden District Municipality",0,0,116896.7435
"2182","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc Overberg District Municipality","CmLJdTTkdeN","5 - Centrally Supported",0,0,,35,"SouthAfrica","Western Cape","Overberg District Municipality",0,0,113823.5
"2183","South Africa","South Africa","wc Western Cape Province","NB4LMI17VJk","wc West Coast District Municipality","tYc1vr3hkQT","5 - Centrally Supported",778,743,0.955,595,"SouthAfrica","Western Cape","West Coast District Municipality",0,0,117034.78827
"2184","South Sudan","South Sudan","_Military South Sudan","mEB5xPggDEd","_Military South Sudan","mEB5xPggDEd",,0,0,,851,"SouthSudan","_Military South Sudan","_Military South Sudan",0,0,348250
"2185","South Sudan","South Sudan","Central Equatoria State","ylFgtSpUv3F","Central Equatoria State","ylFgtSpUv3F","2 - Scale-Up: Aggressive",1478,831,0.562,1691,"SouthSudan","Central Equatoria","Central Equatoria",0,0,476597.96229
"2186","South Sudan","South Sudan","Central Equatoria State","ylFgtSpUv3F","Central Equatoria State","ylFgtSpUv3F","4 - Sustained",124,110,0.887,100,"SouthSudan","Central Equatoria","Central Equatoria",0,0,476597.96229
"2187","South Sudan","South Sudan","Central Equatoria State","ylFgtSpUv3F","Central Equatoria State","ylFgtSpUv3F","4 - Sustained",0,0,,4,"SouthSudan","Central Equatoria","Central Equatoria",0,0,476597.96229
"2188","South Sudan","South Sudan","Central Equatoria State","ylFgtSpUv3F","Central Equatoria State","ylFgtSpUv3F","4 - Sustained",0,0,,16,"SouthSudan","Central Equatoria","Central Equatoria",0,0,476597.96229
"2189","South Sudan","South Sudan","Central Equatoria State","ylFgtSpUv3F","Central Equatoria State","ylFgtSpUv3F","4 - Sustained",288,231,0.802,598,"SouthSudan","Central Equatoria","Central Equatoria",0,0,476597.96229
"2190","South Sudan","South Sudan","Eastern Equatoria State","RXjHN6pUGkr","Eastern Equatoria State","RXjHN6pUGkr","4 - Sustained",88,46,0.523,96,"SouthSudan","Eastern Equatoria","Eastern Equatoria",0,0,321119.01807
"2191","South Sudan","South Sudan","Eastern Equatoria State","RXjHN6pUGkr","Eastern Equatoria State","RXjHN6pUGkr","2 - Scale-Up: Aggressive",348,232,0.667,437,"SouthSudan","Eastern Equatoria","Eastern Equatoria",0,0,321119.01807
"2192","South Sudan","South Sudan","Eastern Equatoria State","RXjHN6pUGkr","Eastern Equatoria State","RXjHN6pUGkr","4 - Sustained",111,69,0.622,192,"SouthSudan","Eastern Equatoria","Eastern Equatoria",0,0,321119.01807
"2193","South Sudan","South Sudan","Lakes State","HOvKr2AtwXO","Lakes State","HOvKr2AtwXO",,128,58,0.453,212,"SouthSudan","Lakes","Lakes",0,0,129242.50057
"2194","South Sudan","South Sudan","Lakes State","HOvKr2AtwXO","Lakes State","HOvKr2AtwXO",,201,107,0.532,286,"SouthSudan","Lakes","Lakes",0,0,129242.50057
"2195","South Sudan","South Sudan","Northern Bahr el Ghazel State","buxgwgL4zj0","Northern Bahr el Ghazel State","buxgwgL4zj0",,63,48,0.762,100,"SouthSudan","Northern Bahr el Ghazal","Northern Bahr el Ghazal",0,0,64820.84968
"2196","South Sudan","South Sudan","Western Bahr el Ghazel State","a1d9xKsDOhR","Western Bahr el Ghazel State","a1d9xKsDOhR",,232,166,0.716,281,"SouthSudan","Western Bahr el Ghazal","Western Bahr el Ghazal",0,0,64755.85913
"2197","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","2 - Scale-Up: Aggressive",519,496,0.956,277,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2198","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","4 - Sustained",0,0,,19,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2199","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","4 - Sustained",145,80,0.552,99,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2200","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","4 - Sustained",52,31,0.596,39,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2201","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","4 - Sustained",0,0,,1,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2202","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv",,0,0,,2,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2203","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","2 - Scale-Up: Aggressive",378,293,0.775,435,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2204","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","4 - Sustained",223,172,0.771,290,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2205","South Sudan","South Sudan","Western Equatoria State","C6wpOKvOHHv","Western Equatoria State","C6wpOKvOHHv","2 - Scale-Up: Aggressive",926,672,0.726,889,"SouthSudan","Western Equatoria","Western Equatoria",0,0,467771.5647
"2206","Swaziland","Swaziland","_Military Swaziland","WtniIbuJk7k","_Military Swaziland","WtniIbuJk7k",,324,277,0.855,392,"Swaziland","_Military Swaziland","_Military Swaziland",0,0,145938.5813
"2207","Swaziland","Swaziland","Hhohho","qYzGABaWyCf","Hhohho","qYzGABaWyCf","1 - Scale-Up: Saturation",6562,6302,0.96,5838,"Swaziland","Hhohho","Hhohho",73536,104538,1259578.597
"2208","Swaziland","Swaziland","Lubombo","nxGb6sd7p7D","Lubombo","nxGb6sd7p7D","1 - Scale-Up: Saturation",3926,3784,0.964,4127,"Swaziland","Lubombo","Lubombo",79264,69596,1661444.9567
"2209","Swaziland","Swaziland","Manzini","Z3IDOaDDkwG","Manzini","Z3IDOaDDkwG","1 - Scale-Up: Saturation",6942,6274,0.904,7804,"Swaziland","Manzini","Manzini",201420,110544,1623643.4242
"2210","Swaziland","Swaziland","Shiselweni","qRppsyyTP4A","Shiselweni","qRppsyyTP4A","1 - Scale-Up: Saturation",760,636,0.837,717,"Swaziland","Shiselweni","Shiselweni",24007,44743,333983.60568
"2211","Tanzania","Tanzania","_Military Tanzania","m4ZIAwNvHGu","_Military Tanzania","m4ZIAwNvHGu",,3429,2504,0.73,3527,"Tanzania","_Military Tanzania","_Military Tanzania",0,0,1112287
"2212","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Arusha City Council","kUikmXEZjNy","1 - Scale-Up: Saturation",1464,912,0.623,2233,"Tanzania","Arusha","Arusha City Council",29072,46987,601080.92596
"2213","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Arusha DC","QL3f2eyizTy","4 - Sustained",111,91,0.82,311,"Tanzania","Arusha","Arusha DC",18025,28301,503091.84322
"2214","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Karatu DC","yrL0bXyNGUC","4 - Sustained",124,84,0.677,252,"Tanzania","Arusha","Karatu DC",5495,8780,43010.339004
"2215","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Longido DC","trEZDtd0yG0","4 - Sustained",91,52,0.571,122,"Tanzania","Arusha","Longido DC",3399,5157,24107.349854
"2216","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Meru DC","IvFsAvEMGoN","4 - Sustained",516,447,0.866,564,"Tanzania","Arusha","Meru DC",8245,11669,74177.722128
"2217","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Monduli DC","GWyu5TpbqZR","4 - Sustained",66,42,0.636,197,"Tanzania","Arusha","Monduli DC",9262,16451,111746.54248
"2218","Tanzania","Tanzania","Arusha","SUd0Latzp0z","Ngorongoro DC","j2oJq5cmseg","4 - Sustained",0,0,,0,"Tanzania","Arusha","Ngorongoro DC",4543,6399,43331.543714
"2219","Tanzania","Tanzania","Dar es Salaam","rFkiQ8zxMya","Ilala MC","X084f2qVlrB","1 - Scale-Up: Saturation",8065,5934,0.736,9287,"Tanzania","Dar es Salaam","Ilala MC",,122124,2824199.7818
"2220","Tanzania","Tanzania","Dar es Salaam","rFkiQ8zxMya","Kinondoni MC","YyHBXHmKukB","2 - Scale-Up: Aggressive",9079,6703,0.738,10853,"Tanzania","Dar es Salaam","Kinondoni MC",196160,187463,4459227.1326
"2221","Tanzania","Tanzania","Dar es Salaam","rFkiQ8zxMya","Temeke MC","rtBnaP4CaLe","2 - Scale-Up: Aggressive",8254,5944,0.72,9287,"Tanzania","Dar es Salaam","Temeke MC",178204,147549,2851891.2904
"2222","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Bahi DC","dgdbOACMjkJ","4 - Sustained",309,206,0.667,371,"Tanzania","Dodoma","Bahi DC",0,0,64944.18367
"2223","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Chamwino DC","YLCO37nNRDr","4 - Sustained",347,233,0.671,428,"Tanzania","Dodoma","Chamwino DC",17169,28614,147779.34781
"2224","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Chemba DC","y9AY8FOTj8O","4 - Sustained",73,48,0.658,77,"Tanzania","Dodoma","Chemba DC",0,0,46148.211613
"2225","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Dodoma MC","shxU5hXKkXr","1 - Scale-Up: Saturation",1607,1066,0.663,2031,"Tanzania","Dodoma","Dodoma MC",26533,78777,780655.08707
"2226","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Kondoa DC","KkMgLgvtuAa","4 - Sustained",337,192,0.57,283,"Tanzania","Dodoma","Kondoa DC",9211,15351,84625.037782
"2227","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Kongwa DC","yz3UtyuzHdF","4 - Sustained",435,235,0.54,600,"Tanzania","Dodoma","Kongwa DC",9928,16547,87512.6984
"2228","Tanzania","Tanzania","Dodoma","bmRqeKE3Srw","Mpwapwa DC","A3x7TQqItNX","4 - Sustained",384,282,0.734,451,"Tanzania","Dodoma","Mpwapwa DC",12146,20244,107729.6429
"2229","Tanzania","Tanzania","Geita","owcgF3FNBz9","Bukombe DC","d7jaGpSxsaJ","4 - Sustained",1126,824,0.732,1125,"Tanzania","Geita","Bukombe DC",,,304191.98478
"2230","Tanzania","Tanzania","Geita","owcgF3FNBz9","Chato DC","xxx5e0BohYI","4 - Sustained",1143,827,0.724,1099,"Tanzania","Geita","Chato DC",,,410488.76309
"2231","Tanzania","Tanzania","Geita","owcgF3FNBz9","Geita DC","bVUktvRBkSC","1 - Scale-Up: Saturation",1605,1131,0.705,2967,"Tanzania","Geita","Geita DC",,,666803.788
"2232","Tanzania","Tanzania","Geita","owcgF3FNBz9","Geita TC","uvOa3vSlS16","4 - Sustained",995,702,0.706,1193,"Tanzania","Geita","Geita TC",,,208941.12839
"2233","Tanzania","Tanzania","Geita","owcgF3FNBz9","Mbongwe DC","ocNRp1wzSHa","4 - Sustained",856,580,0.678,812,"Tanzania","Geita","Mbongwe DC",,,415541.13654
"2234","Tanzania","Tanzania","Geita","owcgF3FNBz9","Nyang'hwale DC","BtMJFR0nUrB","4 - Sustained",475,310,0.653,418,"Tanzania","Geita","Nyang'hwale DC",,,128745.97657
"2235","Tanzania","Tanzania","Iringa","umVF3kzCQOj","Iringa DC","SxuWL8y7s0h","4 - Sustained",1073,789,0.735,1104,"Tanzania","Iringa","Iringa DC",0,0,158003.8891
"2236","Tanzania","Tanzania","Iringa","umVF3kzCQOj","Iringa MC","uHbIOtn8uNS","1 - Scale-Up: Saturation",1746,1312,0.751,2225,"Tanzania","Iringa","Iringa MC",23224,67992,738282.14803
"2237","Tanzania","Tanzania","Iringa","umVF3kzCQOj","Kilolo DC","HeFt4nH6lFL","4 - Sustained",1040,723,0.695,1204,"Tanzania","Iringa","Kilolo DC",15376,25627,127756.53404
"2238","Tanzania","Tanzania","Iringa","umVF3kzCQOj","Mafinga TC","cdSO66LSlGQ","4 - Sustained",977,710,0.727,1198,"Tanzania","Iringa","Mafinga TC",0,0,122844.58884
"2239","Tanzania","Tanzania","Iringa","umVF3kzCQOj","Mufindi DC","AaejvOngJzv","1 - Scale-Up: Saturation",2267,1781,0.786,2565,"Tanzania","Iringa","Mufindi DC",35922,75251,230062.34242
"2240","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Biharamulo DC","xOVDj8J5PoB","4 - Sustained",694,466,0.671,723,"Tanzania","Kagera","Biharamulo DC",117902,117902,1668193.9434
"2241","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Bukoba DC","imTE2HfVCB6","2 - Scale-Up: Aggressive",1029,778,0.756,2023,"Tanzania","Kagera","Bukoba DC",2090,3484,70213.800195
"2242","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Bukoba MC","PEaCSlDUGCg","4 - Sustained",1483,1144,0.771,1800,"Tanzania","Kagera","Bukoba MC",65437,59245,530174.39777
"2243","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Karagwe DC","JTG9SvBj4hZ","4 - Sustained",822,597,0.726,901,"Tanzania","Kagera","Karagwe DC",62520,62520,751787.43044
"2244","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Kyerwa DC","j8AIF1TBisq","4 - Sustained",868,668,0.77,722,"Tanzania","Kagera","Kyerwa DC",55164,55164,662491.52164
"2245","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Missenyi DC","xA6NDbxZAgx","4 - Sustained",1008,751,0.745,988,"Tanzania","Kagera","Missenyi DC",58842,58842,690220.32968
"2246","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Muleba DC","tLsMlLSRpfE","1 - Scale-Up: Saturation",1680,1270,0.756,2981,"Tanzania","Kagera","Muleba DC",75851,102593,1592335.9945
"2247","Tanzania","Tanzania","Kagera","v49jxVQO1c2","Ngara DC","S2K7qj164i8","4 - Sustained",476,346,0.727,470,"Tanzania","Kagera","Ngara DC",95618,95618,980443.8489
"2248","Tanzania","Tanzania","Kaskazini Pemba","WPIvRWeSgQI","Micheweni","suZa3dTHksq","4 - Sustained",13,11,0.846,3,"Tanzania","Kaskazini Pemba","Micheweni",4010,4210,27054.902681
"2249","Tanzania","Tanzania","Kaskazini Pemba","WPIvRWeSgQI","Wete","CtMgY8VZogi","4 - Sustained",21,20,0.952,10,"Tanzania","Kaskazini Pemba","Wete",5551,14299,49819.232718
"2250","Tanzania","Tanzania","Kaskazini Unguja","z18WXalvHis","Kaskazini A","Exl9pUAc44P","4 - Sustained",41,22,0.537,38,"Tanzania","Kaskazini Unguja","Kaskazini A",9064,9263,45292.691761
"2251","Tanzania","Tanzania","Kaskazini Unguja","z18WXalvHis","Kaskazini B","JunQeiJ0pST","4 - Sustained",0,0,,0,"Tanzania","Kaskazini Unguja","Kaskazini B",6821,7021,6271.1540115
"2252","Tanzania","Tanzania","Katavi","QSPGnwVWfKl","Mlele DC","IAOBhhbqamN","4 - Sustained",1030,832,0.808,841,"Tanzania","Katavi","Mlele DC",,,256972.93682
"2253","Tanzania","Tanzania","Katavi","QSPGnwVWfKl","Mpanda DC","vAuW6hf6KGW","4 - Sustained",688,357,0.519,572,"Tanzania","Katavi","Mpanda DC",,,286811.08796
"2254","Tanzania","Tanzania","Katavi","QSPGnwVWfKl","Mpanda TC","sHTZH3Q9xlL","4 - Sustained",1056,731,0.692,894,"Tanzania","Katavi","Mpanda TC",,,495978.02734
"2255","Tanzania","Tanzania","Katavi","QSPGnwVWfKl","Nsimbo DC","Vu9fQlceypj","4 - Sustained",472,274,0.581,297,"Tanzania","Katavi","Nsimbo DC",1443,203,289073.812
"2256","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Buhigwe DC","WFAQjpgzs0C","4 - Sustained",44,29,0.659,24,"Tanzania","Kigoma","Buhigwe DC",10664,12030,135212.536
"2257","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kakonko DC","qczHUWeVisp","4 - Sustained",117,101,0.863,202,"Tanzania","Kigoma","Kakonko DC",8319,20579,85750.170223
"2258","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kasulu DC","rw6jhJfCbOz","4 - Sustained",260,158,0.608,69,"Tanzania","Kigoma","Kasulu DC",9649,14140,97888.448103
"2259","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kasulu TC","NcKPF2NzcgG","4 - Sustained",210,157,0.748,229,"Tanzania","Kigoma","Kasulu TC",11709,10972,56110.729906
"2260","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kibondo DC","FuoMYXv1Nfz","4 - Sustained",199,148,0.744,452,"Tanzania","Kigoma","Kibondo DC",8694,21256,88296.651447
"2261","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kigoma DC","RltHtwb3yOs","4 - Sustained",54,38,0.704,0,"Tanzania","Kigoma","Kigoma DC",10667,16608,109257.02637
"2262","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Kigoma Ujiji MC","G08ogemsYzp","2 - Scale-Up: Aggressive",575,369,0.642,849,"Tanzania","Kigoma","Kigoma Ujiji MC",18289,34509,166548.76499
"2263","Tanzania","Tanzania","Kigoma","cnqQSriMwp8","Uvinza DC","QnjhG3pb3tT","4 - Sustained",284,190,0.669,345,"Tanzania","Kigoma","Uvinza DC",11499,14695,78478.233491
"2264","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Hai DC","bVxRDDk5dhV","4 - Sustained",291,172,0.591,385,"Tanzania","Kilimanjaro","Hai DC",8033,11894,80877.72216
"2265","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Moshi DC","AilOhUXA8aG","2 - Scale-Up: Aggressive",386,298,0.772,893,"Tanzania","Kilimanjaro","Moshi DC",12532,21524,109336.77449
"2266","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Moshi MC","CbnpwmuwDpe","4 - Sustained",694,493,0.71,1114,"Tanzania","Kilimanjaro","Moshi MC",23345,27257,458797.24871
"2267","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Mwanga DC","feWqlZZmIFa","4 - Sustained",154,119,0.773,175,"Tanzania","Kilimanjaro","Mwanga DC",4223,7218,25871.974502
"2268","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Rombo DC","aJBepvgxJL8","4 - Sustained",272,200,0.735,367,"Tanzania","Kilimanjaro","Rombo DC",7874,11496,81129.076926
"2269","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Same DC","PwxC93HtuSb","4 - Sustained",282,201,0.713,465,"Tanzania","Kilimanjaro","Same DC",7441,13645,44663.455127
"2270","Tanzania","Tanzania","Kilimanjaro","r1X2R3xCahF","Siha DC","RKfeX87U7lA","4 - Sustained",160,100,0.625,245,"Tanzania","Kilimanjaro","Siha DC",5200,8043,44939.492103
"2271","Tanzania","Tanzania","Kusini Pemba","WCjxS2szrtn","Chake Chake","Iy2ohDSmZYT","4 - Sustained",21,14,0.667,22,"Tanzania","Kusini Pemba","Chake Chake",6016,6216,54538.963869
"2272","Tanzania","Tanzania","Kusini Pemba","WCjxS2szrtn","Mkoani","vafMiWl7iKa","4 - Sustained",9,8,0.889,5,"Tanzania","Kusini Pemba","Mkoani",3421,3621,25878.520492
"2273","Tanzania","Tanzania","Kusini Unguja","AQseEBNFuq7","Kusini","WwO4gfYWGaQ","4 - Sustained",24,16,0.667,14,"Tanzania","Kusini Unguja","Kusini",8220,8420,80560.604141
"2274","Tanzania","Tanzania","Lindi","kLhRnbNgmQo","Kilwa DC","cW0c0cXIxud","4 - Sustained",298,207,0.695,229,"Tanzania","Lindi","Kilwa DC",13413,11574,90309.493438
"2275","Tanzania","Tanzania","Lindi","kLhRnbNgmQo","Lindi DC","rGq4u7NPzKX","4 - Sustained",352,265,0.753,338,"Tanzania","Lindi","Lindi DC",14614,12834,91391.3966
"2276","Tanzania","Tanzania","Lindi","kLhRnbNgmQo","Lindi MC","ZERbguzxIRa","1 - Scale-Up: Saturation",670,484,0.722,585,"Tanzania","Lindi","Lindi MC",18081,16360,164335.03738
"2277","Tanzania","Tanzania","Lindi","kLhRnbNgmQo","Liwale DC","jMIoGAH9QnR","4 - Sustained",57,42,0.737,184,"Tanzania","Lindi","Liwale DC",11179,9223,39251.3477
